,0
0,"-60,002697166503076"
1,"-59,61552319759772"
2,"-58,781769053336454"
3,"-56,028143575941975"
4,"-54,743896907736485"
5,"-53,25998748335457"
6,"-53,457336566867006"
7,"-53,77057840438692"
8,"-53,97249541471848"
9,"-55,20828537230143"
10,"-56,83492074732278"
11,"-58,285280389765305"
12,"-60,27978867645964"
13,"-58,08097433662133"
14,"-54,70643927051944"
15,"-45,89843647084491"
16,"-36,11795714123839"
17,"-25,90079570979823"
18,"-17,87800835018105"
19,"-11,169780977598036"
20,"-5,140551780849177"
21,"-1,606118778912902"
22,"1,9780670794905555"
